MDW
SMF
SEA
STL
PDX
DAL
DFW
MCI
BOS
FAT
TUS
MSP
SJU
AUS
TPA
SFO
DCA
BTR
BWI
SLC
CLE
PHX
DEN
MIA
EWR
IAH
COS
MSY
ORD
LAX
PSP
SBN
MCO
ATL
PHL
KTN
CLT
SHV
LAS
RST
JFK
DTW
MSO
FLL
ILM
BMI
GRK
LSE
RAP
MFE
STS
PLN
RDD
GJT
BQN
ABR
YUM
PIB
SUN
CWA
MOT
BJI
APN
GFK
SIT
IMT
JMS
OME
PIH
BRD
COD
PSG
COU
CDC
WRG
BLI
ACK
OTZ
HOB
BET
HIB
WYS
EKO
GRI
GUM
LEX
TLH
AEX
TRI
CHS
IND
ACY
ABE
AVL
SBP
SGU
LAN
AMA
CID
LBB
SYR
FSD
MFR
EVV
IDA
FAR
DAB
ATW
SPI
YAK
CDV
DSM
BTM
BHM
CPR
ALO
BUF
BGR
PAH
JLN
ASE
GNV
GSP
HPN
JNU
LIT
BRO
MVY
SJT
MEM
LBE
MSN
FLG
MYR
OMA
MEI
PNS
SAV
ABQ
LAW
ITO
AGS
ALB
AZO
IAG
MKG
ABY
ANC
FAI
HLN
ADQ
BDL
AVP
MHT
ISP
BGM
BOI
BUR
ESC
IAD
CAK
LCH
PUB
CHA
ROC
CMH
CIU
CVG
MHK
FWA
BTV
GTF
GEG
SAF
ITH
GRB
BQK
GRR
CRW
ICT
VLD
OAJ
LGB
LIH
MOB
SDF
MLU
OGG
STX
OKC
ONT
DVL
INL
ORF
FSM
LRD
PHF
PBI
SWF
PWM
SAN
LGA
SBA
MRY
SNA
OAK
SJC
RNO
TVC
RSW
ECP
KOA
BZN
BFL
MKE
DAY
BIL
TYS
HRL
JAN
GPT
HSV
CAE
FAY
DHN
MLB
PIT
BNA
LFT
DRO
EUG
FNT
ACV
JAC
FCA
RDM
SGF
EYW
PIA
MGM
HDN
MTJ
ELP
ORH
SAT
HOU
ERI
GSO
HNL
SCE
RHI
RIC
HYS
PVD
RDU
XNA
MLI
GTR
CSG
TUL
LNK
VPS
MAF
MBS
JAX
SRQ
STT
TTN
DLH
CRP
ROA
MQT
CHO
MDT
PSC
BIS
GCC
EGE
TWF
CMX
ACT
PSE
UIN
ISN
BRW
SCC
EAU
SPS
PGD
ELM
OTH
LWS
PBG
RKS
MMH
IFP
CLL
ROW
LAR
GUC
GCK
EWN
TYR
ADK
SUX
AKN
HYA
DLG
GST
CKB
TOL
CGI
PPG
TXK
ABI
