OKC IAH 24
OKC BWI 3
OKC MDW 6
OKC DAL 8
OKC DEN 51
OKC DFW 75
OKC ATL 21
OKC LAS 11
OKC IAD 2
OKC MSP 16
OKC SLC 6
RSW TTN 9
RSW STL 25
RSW EWR 26
RSW LGA 23
RSW BNA 7
RSW CMH 10
RSW DTW 81
RSW ORD 53
RSW BDL 11
RSW ACY 22
RSW IAH 9
RSW BWI 28
RSW CVG 1
RSW BOS 48
RSW PHL 32
RSW JFK 33
RSW DCA 27
RSW MDW 17
RSW HPN 14
RSW GRR 7
RSW LBE 9
RSW DEN 21
RSW MKE 10
RSW DFW 48
RSW ATL 48
RSW PIT 13
RSW CAK 12
RSW IAD 4
RSW IND 21
RSW MSP 21
SEA STL 3
SEA HDN 4
SEA SAN 48
SEA OMA 14
SEA EWR 20
SEA BZN 1
SEA BUR 23
SEA KTN 27
SEA SMF 83
SEA OAK 85
SEA HNL 16
SEA SFO 114
SEA COS 16
SEA MSY 7
SEA SNA 39
SEA JNU 12
SEA MCI 4
SEA AUS 9
SEA DTW 33
SEA PDX 73
SEA TUS 11
SEA MIA 16
SEA ORD 66
SEA LGB 11
SEA ONT 6
SEA PSP 38
SEA ABQ 6
SEA IAH 39
SEA BWI 5
SEA JAC 3
SEA FAI 23
SEA BOS 28
SEA PHL 15
SEA JFK 34
SEA SAT 4
SEA DCA 11
SEA SBA 10
SEA MDW 10
SEA MCO 9
SEA BLI 24
SEA DEN 104
SEA ANC 66
SEA MKE 4
SEA TPA 1
SEA OGG 22
SEA DFW 61
SEA SJC 111
SEA ATL 17
SEA FAT 17
SEA LAS 125
SEA IAD 9
SEA FLL 6
SEA GEG 76
SEA MSP 28
SEA SLC 55
TTN BNA 1
TTN DTW 4
TTN RDU 7
TTN PBI 6
TTN UST 2
TTN CVG 2
TTN MDW 14
TTN MCO 27
TTN MKE 2
TTN TPA 8
TTN ATL 10
TTN FLL 7
TTN IND 2
TTN MSP 1
ALB DTW 3
ALB ORD 19
ALB BWI 31
ALB MDW 18
ALB MCO 19
ALB TPA 6
ALB ATL 15
ALB LAS 3
ALB FLL 6
STL OMA 10
STL EWR 55
STL LGA 60
STL BNA 12
STL SFO 22
STL MSY 10
STL CMH 9
STL MCI 16
STL DTW 12
STL MIA 20
STL ORD 53
STL TUL 7
STL RDU 7
STL IAH 23
STL BWI 19
STL CVG 2
STL BOS 16
STL PHL 13
STL SAT 17
STL DCA 12
STL MDW 37
STL MCO 24
STL GRR 7
STL DAL 34
STL DEN 32
STL MKE 12
STL TPA 8
STL DFW 67
STL ATL 41
STL LAS 23
STL IAD 4
STL FLL 6
STL MSP 36
JAX EWR 24
JAX LGA 2
JAX BNA 12
JAX DTW 5
JAX ORD 17
JAX IAH 24
JAX BWI 30
JAX BOS 19
JAX PHL 11
JAX JFK 28
JAX DCA 12
JAX MDW 8
JAX DEN 1
JAX DFW 31
JAX ATL 67
JAX IAD 9
JAX FLL 16
JAX MSP 1
HDN EWR 1
HDN SFO 1
HDN ORD 2
HDN IAH 7
HDN DEN 1
HDN DFW 14
HDN ATL 4
SAF DEN 11
SAF DFW 36
MTJ EWR 1
MTJ SFO 2
MTJ ORD 12
MTJ IAH 8
MTJ DEN 25
MTJ DFW 3
SAN EWR 10
SAN SMF 56
SAN OAK 78
SAN BNA 3
SAN HNL 16
SAN SFO 130
SAN MSY 1
SAN MCI 14
SAN AUS 8
SAN DTW 5
SAN PDX 32
SAN TUS 13
SAN MIA 7
SAN ORD 44
SAN ABQ 12
SAN IAH 34
SAN BWI 5
SAN RNO 15
SAN BOS 26
SAN PHL 21
SAN JFK 27
SAN SAT 12
SAN MDW 19
SAN MCO 18
SAN DAL 10
SAN DEN 88
SAN OGG 3
SAN DFW 84
SAN BOI 7
SAN SJC 92
SAN ATL 25
SAN LAS 85
SAN IAD 11
SAN MSP 9
SAN SLC 27
OMA EWR 12
OMA LGA 10
OMA DTW 10
OMA ORD 58
OMA IAH 30
OMA MDW 34
OMA MCO 4
OMA DEN 59
OMA DFW 28
OMA ATL 27
OMA LAS 9
OMA MSP 38
OMA SLC 9
EWR SBN 10
EWR SAV 12
EWR BZN 1
EWR BNA 44
EWR HNL 3
EWR DSM 3
EWR SFO 68
EWR ROC 11
EWR MSY 18
EWR CMH 25
EWR SNA 8
EWR MEM 24
EWR MCI 29
EWR DAY 23
EWR BUF 7
EWR TYS 7
EWR AVL 4
EWR AUS 13
EWR DTW 73
EWR PDX 6
EWR MIA 75
EWR ORD 50
EWR TUL 2
EWR RDU 11
EWR MSN 10
EWR PBI 53
EWR IAH 62
EWR GSO 32
EWR SYR 12
EWR STT 5
EWR JAC 5
EWR CVG 36
EWR BOS 63
EWR ORF 8
EWR DCA 37
EWR MDW 31
EWR MCO 92
EWR GRR 10
EWR MHT 10
EWR PVD 14
EWR DEN 76
EWR AVP 1
EWR BQN 8
EWR MKE 20
EWR SDF 19
EWR TPA 34
EWR EGE 8
EWR DFW 79
EWR RIC 23
EWR ATL 56
EWR PIT 16
EWR LAS 27
EWR IAD 35
EWR FLL 84
EWR IND 43
EWR PWM 2
EWR BTV 1
EWR MSP 36
EWR XNA 12
EWR SLC 3
EWR GSP 24
EWR SJU 22
SBN DTW 26
SBN ORD 45
SBN ATL 39
SBN MSP 6
SAV LGA 4
SAV DTW 1
SAV ORD 18
SAV IAH 12
SAV BOS 6
SAV JFK 21
SAV DFW 29
SAV ATL 28
SAV IAD 24
DRO DEN 20
DRO DFW 23
BZN ORD 2
BZN IAH 8
BZN DEN 26
BZN ATL 1
BZN MSP 1
BZN SLC 13
BUR SMF 30
BUR OAK 61
BUR SFO 43
BUR PDX 7
BUR JFK 6
BUR DEN 32
BUR SJC 36
BUR LAS 50
BUR SLC 17
LGA MYR 30
LGA EYW 1
LGA CHO 20
LGA BNA 77
LGA ROC 4
LGA LEX 3
LGA MSY 10
LGA CMH 42
LGA CAE 18
LGA MCI 21
LGA DAY 17
LGA BUF 8
LGA BHM 16
LGA TYS 13
LGA DTW 114
LGA MIA 169
LGA ORD 207
LGA RDU 66
LGA SRQ 17
LGA PBI 96
LGA IAH 65
LGA GSO 48
LGA SYR 2
LGA CVG 6
LGA BOS 198
LGA ORF 30
LGA PHL 7
LGA DCA 130
LGA MDW 35
LGA MCO 102
LGA DAL 61
LGA MHT 19
LGA DEN 55
LGA MKE 21
LGA SDF 42
LGA TPA 41
LGA LIT 17
LGA DFW 116
LGA RIC 26
LGA ATL 142
LGA PIT 6
LGA CAK 17
LGA IAD 38
LGA FLL 144
LGA BTV 3
LGA MSP 28
LGA XNA 9
LGA GSP 4
MYR ACY 12
MYR BOS 6
MYR ATL 39
MYR FLL 10
EYW MIA 14
EYW ATL 23
CHO ORD 37
CHO ATL 24
HRL AUS 8
HRL IAH 20
KTN JNU 4
KTN WRG 5
KTN SIT 5
SMF HNL 16
SMF SFO 72
SMF SNA 34
SMF PDX 18
SMF ORD 13
SMF LGB 15
SMF ONT 37
SMF IAH 14
SMF JFK 3
SMF MDW 3
SMF DEN 44
SMF OGG 2
SMF DFW 37
SMF ATL 5
SMF LAS 62
SMF MSP 3
SMF SLC 25
OAK HNL 11
OAK SNA 35
OAK MCI 3
OAK AUS 6
OAK PDX 27
OAK ORD 4
OAK LGB 17
OAK ONT 56
OAK ABQ 15
OAK BWI 5
OAK JFK 7
OAK MDW 24
OAK DAL 5
OAK DEN 19
OAK OGG 14
OAK DFW 2
OAK BOI 12
OAK LAS 84
OAK GEG 14
OAK SLC 25
BNA ECP 3
BNA MSY 15
BNA CMH 16
BNA MCI 17
BNA PNS 11
BNA AUS 11
BNA DTW 28
BNA MIA 2
BNA ORD 105
BNA RDU 24
BNA IAH 38
BNA BWI 38
BNA CVG 7
BNA BOS 7
BNA PHL 8
BNA JFK 14
BNA SAT 12
BNA DCA 11
BNA MDW 34
BNA MCO 19
BNA DAL 7
BNA DEN 44
BNA TPA 15
BNA DFW 62
BNA ATL 35
BNA PIT 6
BNA LAS 6
BNA IAD 8
BNA FLL 11
BNA MSP 21
BNA SLC 9
RDM SFO 21
RDM DEN 8
RDM SLC 7
HNL PPG 5
HNL SFO 33
HNL ITO 146
HNL PDX 17
HNL ORD 2
HNL IAH 7
HNL JFK 16
HNL BLI 3
HNL DEN 10
HNL OGG 327
HNL DFW 34
HNL SJC 14
HNL ATL 5
HNL GUM 11
HNL LAS 26
HNL IAD 2
ICT ORD 71
ICT IAH 27
ICT MDW 7
ICT DAL 10
ICT DEN 18
ICT DFW 11
ICT ATL 9
ICT LAS 13
ICT MSP 11
DSM DTW 5
DSM ORD 133
DSM IAH 21
DSM MDW 11
DSM DEN 27
DSM DFW 53
DSM ATL 13
DSM LAS 5
DSM MSP 2
DSM SLC 3
SFO ACV 31
SFO CEC 14
SFO MFR 41
SFO COS 1
SFO MSY 7
SFO SUN 15
SFO SNA 112
SFO MCI 20
SFO AUS 59
SFO DTW 12
SFO PDX 80
SFO TUS 38
SFO MIA 18
SFO ORD 147
SFO MRY 23
SFO RDU 6
SFO LGB 12
SFO ONT 63
SFO PSP 101
SFO ABQ 11
SFO IAH 101
SFO BWI 1
SFO MMH 6
SFO RNO 57
SFO SBP 26
SFO JAC 12
SFO CVG 2
SFO EUG 53
SFO BOS 70
SFO RDD 17
SFO PHL 46
SFO JFK 149
SFO SAT 25
SFO DCA 10
SFO SBA 40
SFO MDW 7
SFO MCO 17
SFO OTH 7
SFO DAL 38
SFO DEN 145
SFO ANC 2
SFO MKE 14
SFO BFL 13
SFO OGG 20
SFO PSC 13
SFO DFW 150
SFO BOI 72
SFO ATL 30
SFO ASE 12
SFO PIT 2
SFO FAT 45
SFO LAS 156
SFO IAD 63
SFO FLL 21
SFO IND 6
SFO MSP 34
SFO SLC 88
MFR DEN 9
MFR SLC 10
ROC DTW 3
ROC ORD 39
ROC BWI 13
ROC JFK 22
ROC MDW 10
ROC MCO 4
ROC TPA 4
ROC ATL 11
ROC IAD 12
ROC MSP 1
COS ORD 29
COS IAH 32
COS DEN 53
COS DFW 20
COS ATL 7
COS SLC 10
ECP BWI 3
ECP ATL 22
LEX DTW 6
LEX ORD 43
LEX IAH 17
LEX DFW 35
LEX ATL 46
SCC BRW 11
SCC ANC 9
BRW FAI 5
BRW ANC 7
MSY MCI 4
MSY AUS 5
MSY DTW 29
MSY MIA 7
MSY ORD 39
MSY IAH 59
MSY BWI 12
MSY BOS 1
MSY PHL 7
MSY JFK 23
MSY DCA 15
MSY MDW 18
MSY MCO 16
MSY DAL 43
MSY DEN 41
MSY TPA 14
MSY DFW 45
MSY ATL 55
MSY LAS 8
MSY FLL 23
MSY MSP 2
MSY SLC 2
CMH MIA 21
CMH ORD 121
