ICN
CGO
HFE
SHA
KIX
HNL
BKK
HEL
CDG
PRG
XIY
NAY
TYN
FOC
TSN
BOS
XNN
MIG
LJG
YNJ
DOH
ZHA
URC
WUX
ZUH
CAI
CHC
GRU
LXA
SVO
MUC
HAN
LEJ
INC
KHG
TGO
CIF
FYJ
JMU
SHF
YUS
LFQ
MNL
REP
VDH
IST
DTW
PIT
CJU
BPX
TAE
MEL
ZRH
NCE
VVO
AER
EDI
KGT
BFJ
JIC
LUM
TVS
TXN
XIL
CGD
DLU
ENH
HIA
RKZ
YIH
YIN
DDG
ALG
ROT
NGO
AKL
LAX
OGG
SDU
HZH
HKG
NDG
YCU
RUH
TSF
BAR
BUD
AAT
BLL
HXD
HSG
LLF
MFM
LOS
LDS
CJJ
AMM
IVL
HDG
GOT
